Location,Lat,Lng,Title,URL,Display,Source,Notes,Force,Force URL,Neighbourhood,Neighbourhood URL,Neighbourhood email,Created,ID,ISO 8601 Date
"Rhoose, Vale of Glamorgan",51.388917,-3.349358,Rhoose Coronavirus Help,https://www.facebook.com/groups/214436179920021/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Rhoose,https://www.south-wales.police.uk/en/neighbourhood/vale-of-glamorgan/rhoose/,,18/03/2020 16:16:15,cd6967ed-e424-443a-b70d-fff7b6da906c,2020-03-18
Rhydargaeau. Carmarthenshire,51.914036,-4.271373,Cymorth/Help Coronavirus Rhydargaeau,https://www.facebook.com/groups/1059737241056360/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Carmarthen,https://www.dyfed-powys.police.uk/en/your-area/carmarthenshire/carmarthen/,CarmarthenTownNPT@dyfed-powys.pnn.police.uk,27/03/2020 15:21:06,627e0e34-c226-4f77-9c8e-2286e63b6d02,2020-03-27
"Rhyl, Denbighshire ",53.319141,-3.491634,Covid 19 Bruton Park& surrounding areas community support group ,https://www.facebook.com/search/top/,URL BROKEN,facebook group,,North Wales Police,,Rhyl West,https://www.north-wales.police.uk/your-neighbourhood,,21/03/2020 16:21:47,c815ccc1-3712-4020-ab2f-92041118a533,2020-03-21
"Riverside, Cardiff",51.4846534,-3.1978334,Riverside Covid-19 Mutual Aid Group,https://www.facebook.com/groups/516781909027928/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Riverside and Pontcanna,https://www.south-wales.police.uk/en/neighbourhood/cardiff/riverside/,,16/03/2020 07:51:41,944e5783-3894-4fda-b76a-fbc854e2d240,2020-03-16
"Rogiet, Monmouthshire",51.588512,-2.779497,Rogiet Coronavirus (Covid 19) Community Support Group,https://www.facebook.com/groups/566241517580215/permalink/566243767579990/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Rogiet,http://www.gwent.police.uk/nc/my-area/ward/MS/84/,severnside@gwent.pnn.police.uk,22/03/2020 01:24:22,f5fac33d-6b36-48f9-be1b-b4e3a1cc5840,2020-03-22
Rossett & Burton,53.1093534,-2.9724496,Rossett & Burton Mutual Aid,https://www.facebook.com/groups/127968321335022/,VISIBLE,facebook group,,North Wales Police,,Rossett,https://www.north-wales.police.uk/your-neighbourhood,,17/03/2020 11:31:57,57d3c61d-3b0e-4a9c-899f-e1dce5dec87a,2020-03-17
SA1 5SW,51.6202767,-3.9517475,The Gathering Place,https://www.facebook.com/thegatheringplaceuk/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Castle,https://www.south-wales.police.uk/en/neighbourhood/swansea/castle/,,25/03/2020 13:45:20,4c7af6c8-3e31-49e5-af7d-fc378b27560b,2020-03-25
SA62 6SR,51.8819435,-5.2613841,Covid-19 Mutual Aid UK St Davids and surrounding areas,https://www.facebook.com/groups/228724638172201/228724644838867/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Haverfordwest Rural,https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/haverfordwest-rural/,HaverfordwestNPT@dyfed-powys.pnn.police.uk,16/03/2020 19:26:18,d76f2aec-5da3-4e63-be7e-5edaf2fc427d,2020-03-16
South Wales,51.6858341,-3.3821421,CoronaVirus South Wales,https://www.facebook.com/groups/coronavirussouthwales/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Mountain Ash West,https://www.south-wales.police.uk/en/neighbourhood/rhondda-cynon-taf/mountain-ash-west/,,14/03/2020 19:14:22,f28777b0-18bf-435b-b637-f47083651918,2020-03-14
Splott/ Adamsdown (Cardiff),51.4843953,-3.1587793,Splott/ Adamsdown Covid 19 Mutual Aid ,https://www.facebook.com/groups/633534294092813/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Adamsdown,https://www.south-wales.police.uk/en/neighbourhood/cardiff/adamsdown/,,16/03/2020 09:43:16,a78a00f8-e07d-4530-852d-4aff281cdec3,2020-03-16
St Brides Major CF32 0SH,51.46324,-3.5971713,Helping Hands St Brides Major,https://www.facebook.com/groups/153075902516684,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,St. Bride&amp;#8217;s Major,https://www.south-wales.police.uk/en/neighbourhood/vale-of-glamorgan/st-brides-major/,,24/03/2020 11:24:05,bc189433-242e-4980-acd1-8bb064439f8e,2020-03-24
"St Hilary, Vale of Glamorgan",51.449203,-3.416236,St Hilary Support Group,https://www.facebook.com/groups/sthilary/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Cowbridge,https://www.south-wales.police.uk/en/neighbourhood/vale-of-glamorgan/cowbridge/,,21/03/2020 08:23:47,d5539f13-0379-4dbf-b1c3-4a4d8d14c06b,2020-03-21
Swansea,51.62144,-3.943646,Swansea Covid 19 support group,https://www.facebook.com/groups/1110458535954111/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Castle,https://www.south-wales.police.uk/en/neighbourhood/swansea/castle/,,14/03/2020 19:15:42,d096cffb-5d52-4b6c-bc76-ed2b3fcc2bfb,2020-03-14
Swansea,51.62144,-3.943646,Swansea Isolation Activity Packs,https://www.facebook.com/swanseaactivitypacks/,VISIBLE,facebook group,Fun!,South Wales Police,https://www.south-wales.police.uk,Castle,https://www.south-wales.police.uk/en/neighbourhood/swansea/castle/,,27/03/2020 17:18:12,b4a0c051-fa98-41f7-911c-196fb51e9abb,2020-03-27
"Swansea SA4, UK",51.6878379,-4.0424796,Three Crosses Mutual Aid Group,http://threecrosses.org.uk,VISIBLE,website,,South Wales Police,https://www.south-wales.police.uk,Penyrheol,https://www.south-wales.police.uk/en/neighbourhood/swansea/penyrheol/,,4/6/2020 6:35:39,db5eeff3-0b79-430b-80c1-92fd1dfcefd6,2020-04-06
"Swansea SA7 9LA, UK",51.650959,-3.9139998,Paul Popham Fund: Renal Support Wales,http://www.paulpophamfund.co.uk,HTTP FAIL,,,,,,,,3/31/2020 10:19:32,91488787-b8a0-4241-9af8-0d6c2a2f3998,2020-03-31
"Tabernacle Street, Buckley CH7 2JT, UK",53.1676456,-3.0818647,Buckley Emergency Response Group,http://www.facebook.com/the,NOT GROUP,facebook group,,North Wales Police,,Buckley Bistre West,https://www.north-wales.police.uk/your-neighbourhood,,4/2/2020 3:48:56,f0bda6e2-b692-487a-8bd4-3b773d071734,
"Tabernacle Street, Buckley CH7 2JT, UK",53.1676456,-3.0818647,Buckley Emergency Response Team,https://www.facebook.com/groups/883174221802686/,VISIBLE,facebook group,,North Wales Police,,Buckley Bistre West,https://www.north-wales.police.uk/your-neighbourhood,,4/2/2020 3:52:49,4931beb2-af39-4dde-a7b5-8bd5e6446c4a,
Taff's well village hall ,51.5432631,-3.268255,Covid 19 help and support Taffs Well and nantgarw,https://www.facebook.com/covid-19-help-and-support-taffs-well-and-nantgarw-106246037675442/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Taffs Well,https://www.south-wales.police.uk/en/neighbourhood/rhondda-cynon-taf/taffs-well/,,24/03/2020 22:20:59,15955157-135d-41fc-8bf4-260f0c79cb09,2020-03-24
"Talybont & Llandygai, Gwynedd, Wales",53.214982,-4.090938,Grŵp Cefnogi CORONAVIRUS Talybont-Llandygai Support Group,https://www.facebook.com/groups/606483796601986/,VISIBLE,facebook group,,North Wales Police,,Arllechwedd,https://www.north-wales.police.uk/your-neighbourhood,,18/03/2020 23:37:37,8b75c26b-71ba-47d5-96ac-a88ea8c1efa9,2020-03-18
"Thornhill, Cardiff CF14",51.5426906,-3.1919796,Thornhill Covid-19 - Mutual Aid,https://www.facebook.com/groups/597715667480516/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Llanishen,https://www.south-wales.police.uk/en/neighbourhood/cardiff/llanishen/,,20/03/2020 09:47:19,27ca6f05-85c9-4d61-b2cf-6b9ff3664636,2020-03-20
"Tircoed, Swansea ",51.68348,-3.996853,Tircoed Covid-19 Community Support Group,https://www.facebook.com/groups/215980296162269/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Llangyfelach,https://www.south-wales.police.uk/en/neighbourhood/swansea/llangyfelach/,,24/03/2020 07:51:23,26ee5114-351c-43b2-a21d-afdacce84622,2020-03-24
Tonteg/Church Village/ Llantwit Fadre,51.5710989,-3.312396,Salem Chapel Foodbank Delivery and Support,https://salemtonteg.wordpress.com/,VISIBLE,website,,South Wales Police,https://www.south-wales.police.uk,Ton-Teg,https://www.south-wales.police.uk/en/neighbourhood/rhondda-cynon-taf/ton-teg/,,25/03/2020 16:23:42,dae0b687-19c4-49cf-b27b-3ca70bac2612,2020-03-25
Tremorfa & Pengam Green (Cardiff),51.488888,-3.131463,Tremorfa / Pengam Green COVID-19 Mutual Aid Group,https://www.facebook.com/groups/tremorfapengamgreen/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Splott,https://www.south-wales.police.uk/en/neighbourhood/cardiff/splott/,,20/03/2020 18:58:40,06cd2fdb-74da-4c8b-85b6-ed258e47f411,2020-03-20
"Trethomas, Caerphilly CF83 8FL, UK",51.5920855,-3.1849096,The BMMR Parish Trust CARE Project,https://bmmr.church/coronavirus,VISIBLE,website,,Gwent Police,http://www.gwent.police.uk/,"Bedwas, Trethomas &amp; Machen",http://www.gwent.police.uk/nc/my-area/ward/CE/15/,bedwas@gwent.pnn.police.uk,4/4/2020 7:26:03,baf9ca5c-6d92-4eac-8a94-1c8ba4dd5aea,
Ty'n-y-Groes,53.227759,-3.8381151,Ty'n-y-Groes COVID-19 Support Group,https://www.facebook.com/groups/503484756992228/,VISIBLE,facebook group,,North Wales Police,,Caerhun,https://www.north-wales.police.uk/your-neighbourhood,,15/03/2020 13:59:17,27985e10-989f-419d-b199-ce2ceab591ad,2020-03-15
"Tywyn and District, Gwynedd, Wales",52.587006,-4.087249,Tywyn and District Corona Support,https://www.facebook.com/tywyncoronasupport/,VISIBLE,facebook group,,North Wales Police,,Tywyn,https://www.north-wales.police.uk/your-neighbourhood,,17/03/2020 09:56:32,6ea5f83d-a0de-462b-ad93-9a42e4d440a7,2020-03-17
"Usk, Wales ",51.703533,-2.903404,Usk area coronavirus help and support  ,https://www.facebook.com/groups/224082088966427/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Usk,http://www.gwent.police.uk/nc/my-area/ward/MU/94/,usk@gwent.pnn.police.uk,16/03/2020 16:22:53,427ff024-583a-45c8-b52f-45c6b6c600ce,2020-03-16
Vale of Glamorgan cf32 0pz,51.4617182,-3.6305964,Helping Hands Ogmore-by-Sea,https://www.facebook.com/groups/141281007210984/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,St. Bride&amp;#8217;s Major,https://www.south-wales.police.uk/en/neighbourhood/vale-of-glamorgan/st-brides-major/,,24/03/2020 11:23:19,42452bc7-d93e-45fa-b97d-c73736e1b180,2020-03-24
"Wales, Benllech, LL74 8SY + 8SU",53.330002,-4.2310361,Benllech 8SY and 8SU,https://www.facebook.com/groups/880080229104282/,VISIBLE,facebook group,,North Wales Police,,Brynteg,https://www.north-wales.police.uk/your-neighbourhood,,27/03/2020 18:25:55,fba31d92-7597-40d2-8fc8-95f6f0f5f952,2020-03-27
"Woodland Road, Croesyceiliog, Cwmbran NP44 2DZ, UK",51.6580418,-3.01069,Croesyceiliog & Llanyrafon Support Group,https://www.facebook.com/groups/211440669330816/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Croesyceiliog South,http://www.gwent.police.uk/nc/my-area/ward/TC/118/,cwmbran@gwent.pnn.police.uk,4/2/2020 13:35:30,3f4fab32-d808-4dff-b9f1-9ccf3435dfd5,
Wr3xham,53.04304,-2.992494,Covid 19 Overton and surrounding areas,https://www.facebook.com/groups/201895507736999/,VISIBLE,facebook group,,North Wales Police,,Offa,https://www.north-wales.police.uk/your-neighbourhood,,16/03/2020 14:28:45,f7d93b87-600a-4eea-835f-865531081bc4,2020-03-16
Wrexham,53.04304,-2.992494,"Covid19 Penley, Overton on Dee rural areas",https://www.facebook.com/groups/20189550773699,VISIBLE,facebook group,,North Wales Police,,Offa,https://www.north-wales.police.uk/your-neighbourhood,,14/03/2020 20:14:22,c6f0aeff-3d4f-4511-8c6e-3007ceca967d,2020-03-14
Wrexham Hightown,53.0397148,-2.9870649,Covid-19 Hightown Wrexham,https://www.facebook.com/groups/206264707474685/,VISIBLE,facebook group,,North Wales Police,,Hermitage,https://www.north-wales.police.uk/your-neighbourhood,,18/03/2020 23:30:10,114aa381-148d-432c-869d-c1ee715f91d2,2020-03-18
Ystalyfera and Ystradgynlais neath port talbot ,51.762364,-3.791996,YSTALYFERA and ystradgynlais covid-19 aid group,https://www.facebook.com/groups/499637640924566/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Ystalyfera,https://www.south-wales.police.uk/en/neighbourhood/neath-port-talbot/ystalyfera/,,16/03/2020 12:14:56,60a9714a-e042-45ae-aced-5efb6cdf1eb7,2020-03-16
"Penally, Tenby, UK",51.672738,-4.703579,Penally Ward Covid-19 support,https://facebook.com,NOT LOCAL,,,,,,,,4/8/2020 12:35:47,cee37851-a77e-4fc0-bde9-96e0555c8762,2020-04-08
"Dulais Road, Pontarddulais, Swansea SA4 8PA, UK",51.714956,-4.037645,Pontarddulais Community Response to Coronavirus - Covid-19,https://www.facebook.com/pontarddulais-community-response-to-coronavirus-covid-19-103423331296995/,NOT GROUP,facebook group,,South Wales Police,https://www.south-wales.police.uk,Pontardulais,https://www.south-wales.police.uk/en/neighbourhood/swansea/pontardulais/,,4/8/2020 16:14:38,02e8795b-f5ba-45eb-a9de-cf7f271628dd,2020-04-08
"Shirenewton, Chepstow, UK",51.6391282,-2.7545906,MESh Covid 19 Support Group,https://www.facebook.com/groups/202396024354255/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Shirenewton,http://www.gwent.police.uk/nc/my-area/ward/ML/65/,lowerwye@gwent.pnn.police.uk,4/8/2020 19:53:45,b783d24f-d17c-4fa6-bc7a-a94eb8d3cd2c,2020-04-08
Blaenau Gwent,51.7875779,-3.2043931,Blaenau Gwent council hub,info@blaenau-gwent.gov.uk,VISIBLE,council,Tel: 01495 311556; Email: https://www.blaenau-gwent.gov.uk/en/resident/emergencies-crime-prevention/local-help-support-covid-19/,Gwent Police,http://www.gwent.police.uk/,Badminton,http://www.gwent.police.uk/nc/my-area/ward/GE/41/,ebbwvale@gwent.pnn.police.uk,13/05/2020 00:12:30,995f3a73-b371-4a9d-be0e-3c8a4ab77551,
Bridgend,51.504286,-3.576945,Bridgend council hub,https://www.bridgend.gov.uk/,VISIBLE,council,Tel: 01656 643643; Email: https://www.bridgend.gov.uk/news/letter-to-residents-on-coronavirus/,South Wales Police,https://www.south-wales.police.uk,Oldcastle,https://www.south-wales.police.uk/en/neighbourhood/bridgend/oldcastle/,,13/05/2020 00:12:40,ba16354e-f5ba-4974-a8e0-bd9542220f40,
Caerphilly,51.578829,-3.218134,Caerphilly council hub,https://www.caerphilly.gov.uk/,VISIBLE,council,Tel: 01443 815588; Email: https://www.caerphilly.gov.uk/Services/Health-and-wellbeing/Coronavirus/Support-for-communities,Gwent Police,http://www.gwent.police.uk/,Morgan Jones,http://www.gwent.police.uk/nc/my-area/ward/CC/7/,caerphilly@gwent.pnn.police.uk,13/05/2020 00:12:49,6b220c75-af5d-4ba7-86b8-b5a7781ae17a,
Cardiff,51.481581,-3.17909,Cardiff council hub,advicehub@cardiff.gov.uk,VISIBLE,council,Tel: 029 2087 1071; Email: https://www.volunteercardiff.co.uk/volunteering/volunteering-opportunities/,South Wales Police,https://www.south-wales.police.uk,Cathays,https://www.south-wales.police.uk/en/neighbourhood/cardiff/cathays/,,13/05/2020 00:12:55,8d7d9c18-3fb5-4fdf-981f-5090f077c397,
Carmarthenshire,51.8572309,-4.3115959,Carmarthenshire council hub,https://www.carmarthenshire.gov.wales/,VISIBLE,council,Tel: 01267 234567; Email: http://newsroom.carmarthenshire.gov.wales/2020/02/coronavirus-covid-19-guidance/#.XoNBR4hKguU,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Carmarthen,https://www.dyfed-powys.police.uk/en/your-area/carmarthenshire/carmarthen/,CarmarthenTownNPT@dyfed-powys.pnn.police.uk,13/05/2020 00:12:56,ba886f55-db9a-4c06-92b3-1f23fa746580,
Ceredigion,52.2191429,-3.9321256,Ceredigion council hub,clic@ceredigion.gov.uk,VISIBLE,council,Tel: 01545 570881; Email: https://www.ceredigion.gov.uk/resident/,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Tregaron,https://www.dyfed-powys.police.uk/en/your-area/ceredigion/tregaron/,LampeterNPT@dyfed-powys.pnn.police.uk,13/05/2020 00:13:00,526aec57-bcec-483c-9434-d4fdef55b92c,
Conwy,53.282872,-3.82948,Conwy council hub,https://www.conwy.gov.uk/,VISIBLE,council,Tel: 01492 575544; Email: http://www.conwy.gov.uk/en/Spotlight/Whats-New/Pages/Self-isolating-and-need-help-%E2%80%93-find-out-what's-available-in-your-community.aspx,North Wales Police,,Conwy,https://www.north-wales.police.uk/your-neighbourhood,,13/05/2020 00:13:10,a14b2a42-354b-4f2d-b5ba-9c86dca1f829,
Denbighshire,53.1842288,-3.4224985,Denbighshire council hub,https://www.denbighshire.gov.uk/,VISIBLE,council,Tel: 01824 706000; Email: https://www.denbighshire.gov.uk/en/resident/community-and-living/community-planning/community-resources/community-resources.aspx,North Wales Police,,Denbigh Upper/Henllan,https://www.north-wales.police.uk/your-neighbourhood,,13/05/2020 00:13:19,f5cfdd9f-f761-4f14-9a9b-d5fd48800135,
Flintshire,53.1668658,-3.1418908,Flintshire council hub,https://www.flintshire.gov.uk/,VISIBLE,council,Tel: 01352 752121 ,North Wales Police,,Mold Broncoed,https://www.north-wales.police.uk/your-neighbourhood,,13/05/2020 00:13:53,1cbad201-f9ef-4f96-ab7a-d370bed7b385,
Gwynedd,52.9277266,-4.1334836,Gwynedd council hub,https://www.gwynedd.gov.uk/,VISIBLE,council,Tel: 01766 771000; Email: https://www.gwynedd.llyw.cymru/en/Residents/Emergencies/Helping-people-and-communities.aspx,North Wales Police,,Porthmadog West,https://www.north-wales.police.uk/your-neighbourhood,,13/05/2020 00:14:00,e1ebbd06-b501-4206-8fca-e7f72ced1b1e,
Isle of Anglesey,53.265325,-4.4291403,Isle of Anglesey council hub,https://www.anglesey.gov.uk/,VISIBLE,council,Tel: 01248 750057; Email: https://www.anglesey.gov.uk/en/Residents/Emergencies/Covid-19-Coronavirus-information.aspx#,North Wales Police,,Bryngwran,https://www.north-wales.police.uk/your-neighbourhood,,13/05/2020 00:14:23,3ee7e89c-1a4b-420b-abdf-78dbe5eddac7,
Merthyr Tydfil,51.74873,-3.381646,Merthyr Tydfil council hub,customer.care@merthyr.gov.uk,VISIBLE,council,Tel: 01685 725000; Email: https://www.merthyr.gov.uk/resident/coronavirus/,South Wales Police,https://www.south-wales.police.uk,Park,https://www.south-wales.police.uk/en/neighbourhood/merthyr-tydfil/park/,,13/05/2020 00:14:57,cafa2b4e-3d36-4f7e-abc9-35421e92e890,
Monmouthshire,51.81161,-2.7163417,Monmouthshire council hub,contact@monmouthshire.gov.uk,VISIBLE,council,Tel: 01633 644644; Email: https://www.monmouthshire.gov.uk/community-2/,Gwent Police,http://www.gwent.police.uk/,Drybridge,http://www.gwent.police.uk/nc/my-area/ward/MM/72/,monmouth@gwent.pnn.police.uk,13/05/2020 00:15:09,337b7c12-353e-4538-bd46-15be533e8fe2,
Neath Port Talbot,51.691743,-3.7346728,Neath Port Talbot council hub,https://www.neath-porttalbot.gov.uk/,VISIBLE,council,Tel: 01639 686868; Email: https://www.npt.gov.uk/22404,South Wales Police,https://www.south-wales.police.uk,Resolven,https://www.south-wales.police.uk/en/neighbourhood/neath-port-talbot/resolven/,,13/05/2020 00:15:13,de3fe09b-f8ce-46f6-b720-422e00eb4788,
Newport,51.584151,-2.997664,Newport council hub,info@newport.gov.uk,VISIBLE,council,Tel: 08000 223 444; Email: https://www.newport.gov.uk/en/Council-Democracy/Coronavirus-COVID-19.aspx,Gwent Police,http://www.gwent.police.uk/,Stow Hill,http://www.gwent.police.uk/nc/my-area/ward/NC/106/,newportcitycentre@gwent.pnn.police.uk,13/05/2020 00:15:18,5f6d958e-861a-4af1-901f-62206b7ef6dc,
Pembrokeshire,51.674078,-4.9088785,Pembrokeshire council hub,communitycovid19@pembrokeshire.gov.uk,VISIBLE,council,Tel: 01437 776301; Email: https://www.pembrokeshire.gov.uk/coronavirus-covid-19-community-information/i-need-some-help,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Pembroke,https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/pembroke/,PembrokeDockNPT@dyfed-powys.pnn.police.uk,13/05/2020 00:15:44,25458022-2a26-4497-8a8a-e3f2528a6750,
Powys,52.6464249,-3.3260904,Powys council hub,community.connectors@pavo.org.uk,VISIBLE,council,Tel: 01597 828649; Email: https://en.powys.gov.uk/article/8767/Coronavirus-COVID-19-daily-update,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Llanfair Caereinion,https://www.dyfed-powys.police.uk/en/your-area/powys/welshpool/llanfair-caereinion/,LlanfyllinNPT@dyfed-powys.pnn.police.uk,13/05/2020 00:15:51,601c0895-d4b9-40bf-ab83-dd014a987b0c,
Rhondda Cynon Taf,51.6490207,-3.4288692,Rhondda Cynon Taf council hub,https://www.rctcbc.gov.uk/,VISIBLE,council,Tel: 01443 425020; Email: https://www.rctcbc.gov.uk/EN/GetInvolved/Campaigns/NeighboursNeedYou/YourNeighboursNeedYou%E2%80%93CoronavirusAdvice.aspx,South Wales Police,https://www.south-wales.police.uk,Tylorstown,https://www.south-wales.police.uk/en/neighbourhood/rhondda-cynon-taf/tylorstown/,,13/05/2020 00:15:58,c4d4a72d-9786-4455-bcc7-f669d3a8774d,
Swansea,51.62144,-3.943646,Swansea council hub,covid19@scvs.org.uk,VISIBLE,council,Tel: 01792 544000; Email: https://www.swansea.gov.uk/coronavirusadvice,South Wales Police,https://www.south-wales.police.uk,Castle,https://www.south-wales.police.uk/en/neighbourhood/swansea/castle/,,13/05/2020 00:16:47,72cafe3d-1dce-407a-9859-2a54066d74a7,
Torfaen,51.7002253,-3.0446015,Torfaen council hub,your.call@torfaen.gov.uk,VISIBLE,council,Tel: 01495 762200; Email: https://www.torfaen.gov.uk/en/AboutTheCouncil/Homepage-Stories/COVID-19-Coronavirus.aspx,Gwent Police,http://www.gwent.police.uk/,Brynwern,http://www.gwent.police.uk/nc/my-area/ward/TP/130/,pontypool@gwent.pnn.police.uk,13/05/2020 00:16:56,c0ab3cab-5975-4fab-a159-f96bb399c767,
Vale of Glamorgan,51.4095958,-3.4848167,Vale of Glamorgan council hub,https://www.valeofglamorgan.gov.uk/,VISIBLE,council,Tel: 01446 729592; Email: https://www.valeofglamorgan.gov.uk/en/our_council/press_and_communications/latest_news/2020/March/Coronavirus-Updates-2020.aspx,South Wales Police,https://www.south-wales.police.uk,Llantwit Major,https://www.south-wales.police.uk/en/neighbourhood/vale-of-glamorgan/llantwit-major/,,13/05/2020 00:17:00,6190db82-1c51-464c-b50b-1b6dcfd7b323,
Wrexham,53.04304,-2.992494,Wrexham council hub,info@avow.org,VISIBLE,council,Tel: 01978 312556; Email: https://avow.org/2020/03/25/open-message-to-all-voluntary-and-community-response-to-coronavirus-from-avow/,North Wales Police,,Offa,https://www.north-wales.police.uk/your-neighbourhood,,13/05/2020 00:17:27,8bfc66d7-22c1-4b64-9e39-bd386591c40f,
