LSOA11CD,LSOA11NM,wimd_2019
W01000275,Flintshire 007C,1458
W01000274,Flintshire 007B,231
W01001148,Rhondda Cynon Taf 002A,586
W01001187,Rhondda Cynon Taf 001B,691
W01001149,Rhondda Cynon Taf 003A,736
W01001030,Bridgend 019B,1433
W01001031,Bridgend 018A,1767
W01001104,The Vale of Glamorgan 004E,1543
W01001185,Rhondda Cynon Taf 022A,390
W01001755,Cardiff 025A,1379
W01001240,Rhondda Cynon Taf 026C,1308
W01001032,Bridgend 018B,1669
W01001033,Bridgend 003E,912
W01001034,Bridgend 003F,401
W01001035,Bridgend 014E,326
W01001107,The Vale of Glamorgan 011B,1655
W01001036,Bridgend 017D,1734
W01001243,Rhondda Cynon Taf 030E,438
W01001186,Rhondda Cynon Taf 001A,996
W01001037,Bridgend 013B,1635
W01001106,The Vale of Glamorgan 011A,1822
W01000004,Isle of Anglesey 001B,1100
W01001089,The Vale of Glamorgan 006D,1724
W01001181,Rhondda Cynon Taf 015B,463
W01001100,The Vale of Glamorgan 010C,1795
W01001182,Rhondda Cynon Taf 021A,642
W01001103,The Vale of Glamorgan 010D,1863
W01001183,Rhondda Cynon Taf 021B,268
W01001102,The Vale of Glamorgan 013F,1151
W01001184,Rhondda Cynon Taf 026A,1130
W01001105,The Vale of Glamorgan 001A,1575
W01001180,Rhondda Cynon Taf 015A,51
W01001101,The Vale of Glamorgan 013E,803
W01001319,Merthyr Tydfil 007B,1662
W01000689,Carmarthenshire 003C,1096
W01001178,Rhondda Cynon Taf 023A,823
W01000685,Carmarthenshire 001A,673
W01001812,Cardiff 017C,570
W01001001,Bridgend 010C,723
W01001762,Cardiff 046D,73
W01001021,Bridgend 014A,397
W01000603,Pembrokeshire 013D,746
W01001485,Torfaen 002D,285
W01001407,Caerphilly 016A,1225
W01001486,Torfaen 002E,837
W01001862,Cardiff 042D,327
W01001464,Blaenau Gwent 009A,215
W01001273,Rhondda Cynon Taf 010E,860
W01001503,Torfaen 009B,271
W01001259,Rhondda Cynon Taf 018E,554
W01000075,Gwynedd 002C,753
W01000736,Swansea 028A,1895
W01000651,Carmarthenshire 020A,1201
W01000650,Carmarthenshire 002B,793
W01001494,Torfaen 008B,1551
W01001046,Bridgend 018C,524
W01000688,Carmarthenshire 003B,546
W01001027,Bridgend 017C,1354
W01000684,Carmarthenshire 005D,1146
W01000655,Carmarthenshire 020C,360
W01000654,Carmarthenshire 023B,478
W01000657,Carmarthenshire 010B,557
W01001500,Torfaen 011D,1743
W01000070,Gwynedd 012A,1177
W01001256,Rhondda Cynon Taf 019C,682
W01000979,Bridgend 015A,1332
W01001651,Newport 002A,1710
W01001493,Torfaen 008A,795
W01001821,Cardiff 024A,1654
W01000929,Neath Port Talbot 020D,411
W01001624,Newport 001B,1698
W01001331,Caerphilly 018B,633
W01001338,Caerphilly 004C,456
W01001333,Caerphilly 018D,358
W01001330,Caerphilly 018A,713
W01001335,Caerphilly 005B,710
W01001332,Caerphilly 018C,340
W01001337,Caerphilly 004B,704
W01001334,Caerphilly 005A,213
W01001339,Caerphilly 004D,29
W01001006,Bridgend 009C,1709
W01001861,Cardiff 034D,1121
W01000329,Flintshire 015D,545
W01001846,Cardiff 006C,1745
W01000585,Pembrokeshire 007B,1203
W01001467,Blaenau Gwent 005D,249
W01001526,Torfaen 010B,302
W01000977,Bridgend 003B,392
W01000637,Carmarthenshire 007A,614
W01001675,Newport 007A,865
W01001674,Newport 009E,1127
W01001676,Newport 007B,330
W01001677,Newport 007C,1276
W01001672,Newport 009C,1249
W01000428,Powys 005A,1235
W01001777,Cardiff 001A,1827
W01000844,Swansea 005F,305
W01001418,Caerphilly 008E,325
W01000294,Flintshire 005C,1685
W01000215,Denbighshire 002C,1764
W01000214,Denbighshire 002B,389
W01000295,Flintshire 005D,1515
W01000217,Denbighshire 008C,845
W01000296,Flintshire 003C,247
W01001428,Caerphilly 001E,8
W01000212,Denbighshire 003A,1591
W01000703,Carmarthenshire 022A,499
W01000702,Carmarthenshire 001D,854
W01000784,Swansea 007A,1469
W01000705,Carmarthenshire 022C,395
W01001480,Blaenau Gwent 003E,217
W01001401,Caerphilly 011A,664
W01001400,Caerphilly 019F,90
W01000782,Swansea 023C,1757
W01000928,Neath Port Talbot 020C,662
W01001458,Blaenau Gwent 004E,951
W01001459,Blaenau Gwent 007D,130
W01000778,Swansea 012C,1525
W01000779,Swansea 012D,1147
W01001007,Bridgend 009D,822
W01001120,The Vale of Glamorgan 014D,1787
W01001123,The Vale of Glamorgan 005B,1684
W01000002,Isle of Anglesey 007B,1324
W01000636,Carmarthenshire 025B,728
W01000771,Swansea 020D,1516
W01000947,Neath Port Talbot 004C,589
W01000946,Neath Port Talbot 004B,744
W01001512,Torfaen 005C,1848
W01001594,Monmouthshire 007E,1248
W01001514,Torfaen 006A,1562
W01001515,Torfaen 006B,1239
W01001596,Monmouthshire 006E,1517
W01001595,Monmouthshire 007F,1512
W01000945,Neath Port Talbot 014E,593
W01001593,Monmouthshire 008E,1028
W01000944,Neath Port Talbot 002B,508
W01001648,Newport 015G,750
W01001649,Newport 004D,913
W01000531,Ceredigion 010C,891
W01000533,Ceredigion 010D,755
W01001589,Monmouthshire 010E,932
W01001507,Torfaen 008D,1282
W01000560,Pembrokeshire 001C,1017
W01000563,Pembrokeshire 011B,848
W01000562,Pembrokeshire 002A,1218
W01000565,Pembrokeshire 002B,989
W01001689,Newport 019D,39
W01000113,Gwynedd 009C,862
W01001383,Caerphilly 010D,798
W01001302,Merthyr Tydfil 006B,385
W01001384,Caerphilly 002C,578
W01001305,Merthyr Tydfil 003C,731
W01001385,Caerphilly 002D,246
W01001304,Merthyr Tydfil 006D,967
W01001386,Caerphilly 002E,59
W01001307,Merthyr Tydfil 004C,153
W01001382,Caerphilly 010C,1110
W01001303,Merthyr Tydfil 006C,34
W01001527,Torfaen 010C,584
W01000975,Bridgend 004A,143
W01000963,Neath Port Talbot 016E,124
W01000962,Neath Port Talbot 016D,55
W01000965,Neath Port Talbot 002C,522
W01000964,Neath Port Talbot 016F,115
W01000967,Neath Port Talbot 019C,182
W01000966,Neath Port Talbot 018E,523
W01001220,Rhondda Cynon Taf 018D,730
W01001223,Rhondda Cynon Taf 031C,1755
W01001225,Rhondda Cynon Taf 031E,1884
W01001222,Rhondda Cynon Taf 001E,15
W01001224,Rhondda Cynon Taf 031D,1904
W01001221,Rhondda Cynon Taf 001D,101
W01000241,Denbighshire 004F,11
W01001569,Monmouthshire 003E,1370
W01001568,Monmouthshire 005C,1269
W01001122,The Vale of Glamorgan 014F,1569
W01001125,The Vale of Glamorgan 005D,1643
W01001908,Monmouthshire 010G,998
W01001124,The Vale of Glamorgan 005C,1420
W01001127,The Vale of Glamorgan 001B,1650
W01001126,The Vale of Glamorgan 005E,1571
W01000253,Flintshire 003A,940
W01001314,Merthyr Tydfil 005A,706
W01000681,Carmarthenshire 011B,491
W01001607,Newport 015A,72
W01000112,Gwynedd 008D,569
W01000503,Powys 020C,1264
W01001669,Newport 009A,1890
W01000825,Swansea 031C,1719
W01000139,Conwy 007A,1550
W01001829,Cardiff 033A,634
W01000003,Isle of Anglesey 001A,550
W01000480,Powys 008A,379
W01001791,Cardiff 005A,1492
W01001710,Cardiff 040B,669
W01001713,Cardiff 040E,670
W01000424,Wrexham 012E,931
W01001732,Cardiff 019A,1775
W01000805,Swansea 028D,1906
W01000883,Neath Port Talbot 016A,1407
W01001735,Cardiff 019D,1798
W01000884,Neath Port Talbot 017A,122
W01001734,Cardiff 019C,1889
W01000885,Neath Port Talbot 017B,129
W01000804,Swansea 028C,1858
W01000807,Swansea 003B,1618
W01001737,Cardiff 039A,42
W01000802,Swansea 007D,966
W01001711,Cardiff 040C,324
W01001790,Cardiff 023F,608
W01000698,Carmarthenshire 015B,972
W01000619,Pembrokeshire 016B,1284
W01000618,Pembrokeshire 003D,1170
W01000699,Carmarthenshire 015C,1385
W01001765,Cardiff 044B,323
W01001764,Cardiff 044A,347
W01001767,Cardiff 044D,426
W01001766,Cardiff 044C,256
W01001406,Caerphilly 001D,315
W01000787,Swansea 016C,490
W01001404,Caerphilly 011D,1713
W01001484,Torfaen 002C,1048
W01000446,Powys 015D,1578
W01001427,Caerphilly 024F,1878
W01001426,Caerphilly 024E,1697
W01001424,Caerphilly 024C,739
W01001365,Caerphilly 012C,677
W01001155,Rhondda Cynon Taf 002D,576
W01000706,Carmarthenshire 025C,693
W01000324,Flintshire 012D,1865
W01000758,Swansea 017D,1163
W01000196,Denbighshire 012B,1730
W01001468,Blaenau Gwent 005E,376
W01000509,Ceredigion 009C,899
W01000584,Pembrokeshire 014C,1136
W01001487,Torfaen 001A,626
W01000997,Bridgend 012A,1216
W01000916,Neath Port Talbot 010E,1099
W01001631,Newport 017C,1524
W01001630,Newport 017B,314
W01001633,Newport 019A,166
W01001219,Rhondda Cynon Taf 018C,110
W01001298,Merthyr Tydfil 002D,352
W01001218,Rhondda Cynon Taf 018B,698
W01001299,Merthyr Tydfil 008A,56
W01000744,Swansea 016B,290
W01000747,Swansea 024A,643
W01000950,Neath Port Talbot 018B,609
W01000953,Neath Port Talbot 005B,571
W01000745,Swansea 025B,321
W01000951,Neath Port Talbot 018C,281
W01001572,Monmouthshire 011A,1580
W01001575,Monmouthshire 005D,1291
W01001574,Monmouthshire 011C,1720
W01001577,Monmouthshire 004E,425
W01001573,Monmouthshire 011B,1614
W01000819,Swansea 009C,1589
W01001788,Cardiff 023D,200
W01001709,Cardiff 040A,786
W01001789,Cardiff 023E,1389
W01001697,Cardiff 036D,238
W01001616,Newport 005C,1353
W01000479,Powys 009B,512
W01000478,Powys 009A,412
W01001696,Cardiff 036C,64
W01001617,Newport 003A,47
W01001758,Cardiff 025D,1362
W01000868,Swansea 024B,1783
W01000869,Swansea 024C,868
W01000839,Swansea 030C,1781
W01000838,Swansea 004E,419
W01000366,Wrexham 014A,977
W01001554,Monmouthshire 004C,1427
W01001557,Monmouthshire 001C,851
W01001556,Monmouthshire 006B,1301
W01000388,Wrexham 008E,1572
W01000309,Flintshire 019C,1181
W01000389,Wrexham 017D,1337
W01000308,Flintshire 020C,1236
W01000380,Wrexham 004D,1217
W01000301,Flintshire 006E,1179
W01001555,Monmouthshire 006A,1587
W01001745,Cardiff 043D,1594
W01001744,Cardiff 043C,92
W01001742,Cardiff 043A,50
W01001315,Merthyr Tydfil 004D,337
W01001280,Rhondda Cynon Taf 017E,121
W01001201,Rhondda Cynon Taf 014B,159
W01001200,Rhondda Cynon Taf 014A,534
W01000351,Wrexham 005A,1049
W01000350,Wrexham 011B,445
W01000353,Wrexham 010B,156
W01000352,Wrexham 010A,507
W01000355,Wrexham 017B,562
W01000354,Wrexham 017A,1153
W01000356,Wrexham 017C,513
W01000069,Gwynedd 013A,1339
W01000359,Wrexham 019C,1160
W01000842,Swansea 005D,1388
W01001023,Bridgend 014C,299
W01000440,Powys 020A,1480
W01001498,Torfaen 011B,371
W01000023,Isle of Anglesey 007D,985
W01000022,Isle of Anglesey 004A,857
W01000025,Isle of Anglesey 009B,1300
W01000024,Isle of Anglesey 007E,1050
W01000027,Isle of Anglesey 009C,954
W01000026,Isle of Anglesey 005D,946
W01000179,Conwy 010F,1584
W01000178,Conwy 010E,313
W01000021,Isle of Anglesey 002C,1044
W01000020,Isle of Anglesey 002B,1424
W01000233,Denbighshire 017C,917
W01001864,Cardiff 022B,1521
W01001501,Torfaen 009A,264
W01001771,Cardiff 018C,1813
W01000828,Swansea 018B,1667
W01000506,Ceredigion 005A,1257
W01000987,Bridgend 007B,581
W01000906,Neath Port Talbot 007A,1475
W01000986,Bridgend 007A,1135
W01000907,Neath Port Talbot 007B,446
W01000985,Bridgend 015C,1785
W01000904,Neath Port Talbot 006C,1853
W01000984,Bridgend 016D,1507
W01001492,Torfaen 012A,1238
W01001815,Cardiff 008D,1361
W01001082,The Vale of Glamorgan 002A,1768
W01000508,Ceredigion 009B,871
W01000905,Neath Port Talbot 006D,1336
W01000983,Bridgend 015B,1639
W01000902,Neath Port Talbot 006A,1350
W01000982,Bridgend 016C,1302
W01000903,Neath Port Talbot 006B,1766
W01000900,Neath Port Talbot 014C,244
W01000981,Bridgend 016B,60
W01000466,Powys 010C,1532
W01000340,Flintshire 002C,1617
W01000076,Gwynedd 001B,1132
W01000049,Gwynedd 016B,1037
W01000336,Flintshire 009E,98
W01000041,Isle of Anglesey 006D,308
W01000048,Gwynedd 016A,907
W01000043,Isle of Anglesey 004E,915
W01000040,Isle of Anglesey 004D,1325
W01000044,Isle of Anglesey 004F,1716
W01000042,Isle of Anglesey 008D,1442
W01000337,Flintshire 009F,1022
W01000334,Flintshire 009C,870
W01000009,Isle of Anglesey 007C,819
